"id","hotel_name","continent","country","city","address","services","eco_mark"
"64","nhow Berlin","Europe","Allemagne","Berlin"," Stralauer Allee, 3, 10245 Berlin Allemagne","Wi-Fi gratuit|Parking|Centre sportif|Spa|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|304 Chambres","True"
"65","NH Bingen","Europe","Allemagne","Bingen am Rhein"," Am Rhein Nahe Eck/Museumstrasse 3, 55411 Bingen am Rhein Allemagne","Wi-Fi gratuit|Parking|Spa|100%|Eco-friendly|Animaux|Occasions spéciales|Réunions|135 Chambres","True"
"66","NH Collection Köln Mediapark","Europe","Allemagne","Cologne"," Im Media Park 8b, 50670 Cologne Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Occasions spéciales|Réunions|217 Chambres","True"
"67","NH Köln Altstadt","Europe","Allemagne","Cologne"," Holzmarkt 47, 50676 Cologne Allemagne","Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Occasions spéciales|Réunions|204 Chambres","True"
"68","NH Dortmund","Europe","Allemagne","Dortmund"," Königswall 1, 44137 Dortmund Allemagne","Wi-Fi gratuit|Parking|100%|Eco-friendly|Animaux|Occasions spéciales|Réunions|190 Chambres","True"
"69","NH Collection Dresden Altmarkt","Europe","Allemagne","Dresde"," An der Kreuzkirche 2, 01067 Dresde Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|240 Chambres","True"
"70","NH Dresden Neustadt","Europe","Allemagne","Dresde"," Hansastr. 43, 01097 Dresde Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|269 Chambres","True"
"71","NH Düsseldorf City","Europe","Allemagne","Düsseldorf"," Kölner Str. 186-188, 40227 Düsseldorf Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|338 Chambres","True"
"72","NH Düsseldorf City Nord","Europe","Allemagne","Düsseldorf"," Münsterstr. 230-238, 40470 Düsseldorf Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|330 Chambres","True"
"73","NH Düsseldorf Königsallee","Europe","Allemagne","Düsseldorf"," Adersstr. 29-31, 40215 Düsseldorf Allemagne","Wi-Fi gratuit|Parking|100%|Eco-friendly|Animaux|111 Chambres","True"
"74","NH Erlangen","Europe","Allemagne","Erlangen"," Beethovenstr. 3, 91052 Erlangen Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|138 Chambres","True"
"75","NH Essen","Europe","Allemagne","Essen"," Am Porscheplatz 9, 45127 Essen Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Baby-sitter|Occasions spéciales|Réunions|182 Chambres","False"
"76","NH Collection Frankfurt City","Europe","Allemagne","Francfort"," Vilbeler Str. 2, 60313 Francfort Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|256 Chambres","True"
"77","NH Frankfurt Airport","Europe","Allemagne","Francfort"," Mörfelder Strasse 113, 65451 Kelsterbach Francfort Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|158 Chambres","True"
"78","NH Frankfurt Airport West","Europe","Allemagne","Francfort"," Kelsterbacher Str. 19, 65479 Raunheim Francfort Allemagne","Wi-Fi gratuit|Parking|Centre sportif|Spa|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Occasions spéciales|Réunions|306 Chambres","True"
"79","NH Frankfurt Messe","Europe","Allemagne","Francfort"," Friedrich-Ebert-Anlage 38, 60325 Francfort Allemagne","Wi-Fi gratuit|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Baby-sitter|65 Chambres","True"
"80","NH Frankfurt Mörfelden Conference Center","Europe","Allemagne","Francfort"," Hessenring 9 64546 Mörfelden / Walldorf Francfort Allemagne","Wi-Fi gratuit|Parking|Centre sportif|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|299 Chambres","True"
"81","NH Frankfurt Niederrad","Europe","Allemagne","Francfort"," Lyoner Str. 5, 60528 Francfort Allemagne","Wi-Fi gratuit|Parking|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|165 Chambres","True"
"82","NH Frankfurt Villa","Europe","Allemagne","Francfort"," Emil-Sulzbach-Str. 14-16, 60486 Francfort Allemagne","Wi-Fi gratuit|Parking|100%|Climatisation - Contrôle de la climatisation|Animaux|24 Chambres","False"
"83","NH Fürth Nürnberg","Europe","Allemagne","Fürth"," Königstr. 140, 90762 Fürth Allemagne","Wi-Fi gratuit|Parking|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|118 Chambres","True"
"84","NH Collection Hamburg City","Europe","Allemagne","Hambourg"," Feldstr. 53-58, 20357 Hambourg Allemagne","Wi-Fi gratuit|Parking|Spa|Eco-friendly|Animaux|Accessibilité|129 Chambres|Climatisation - Contrôle de la climatisation","True"
"85","NH Hamburg Altona","Europe","Allemagne","Hambourg"," Stresemannstr. 363-369, 22761 Hambourg Allemagne","Wi-Fi gratuit|Parking|Spa|Centre sportif|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|239 Chambres|Climatisation - Contrôle de la climatisation","True"
"86","NH Hamburg Horner Rennbahn","Europe","Allemagne","Hambourg"," Rennbahnstr. 90, 22111 Hambourg Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|172 Chambres","True"
"87","NH Hamburg Mitte","Europe","Allemagne","Hambourg"," Schäferkampsallee 49, 20357 Hambourg Allemagne","Wi-Fi gratuit|Parking|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|134 Chambres","True"
"88","NH Hannover","Europe","Allemagne","Hanovre"," Am Klagesmarkt 12 30159 Hanovre Allemagne","Parking|100%|Climatisation - Contrôle de la climatisation|Centre sportif|Animaux|Accessibilité|91 Chambres","False"
"89","NH Heidelberg","Europe","Allemagne","Heidelberg"," Bergheimer Str. 91, 69115 Heidelberg Allemagne","Wi-Fi gratuit|Parking|Centre sportif|Spa|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|174 Chambres","True"
"90","NH Hirschberg Heidelberg","Europe","Allemagne","Hirschberg"," Brandenburger Str. 30, 69493 Hirschberg Allemagne","Wi-Fi gratuit|Parking|Centre sportif|Spa|100%|Eco-friendly|Animaux|Occasions spéciales|Réunions|114 Chambres","True"
"91","NH Ingolstadt","Europe","Allemagne","Ingolstadt"," Goethestr. 153, 85055 Ingolstadt Allemagne","Parking|Wi-Fi gratuit|100%|Climatisation - Contrôle de la climatisation|Animaux|Eco-friendly|Accessibilité|Golf|Navette|Occasions spéciales|Réunions|119 Chambres","True"
"92","NH Leipzig Messe","Europe","Allemagne","Leipzig"," Fuggerstr. 2, 04158 Leipzig Allemagne","Wi-Fi gratuit|Parking|Centre sportif|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|308 Chambres","True"
"93","NH Leipzig Zentrum","Europe","Allemagne","Leipzig"," Burgplatz 5, 04109 Leipzig Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Occasions spéciales|Réunions|197 Chambres","False"
"94","NH Ludwigsburg","Europe","Allemagne","Ludwigsbourg"," Pflugfelder Str. 36, 71636 Ludwigsbourg Allemagne","Wi-Fi gratuit|Parking|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Occasions spéciales|Réunions|130 Chambres","True"
"95","NH Magdeburg","Europe","Allemagne","Magdeburg"," Olvenstedter Str. 2a, 39179 Barleben OT Ebendorf Magdeburg Allemagne","Wi-Fi gratuit|Parking|Centre sportif|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|142 Chambres","True"
"96","NH Mannheim","Europe","Allemagne","Mannheim"," Seckenheimer Strasse 146, 68165 Mannheim Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Occasions spéciales|Réunions|225 Chambres","False"
"97","NH Mannheim Viernheim","Europe","Allemagne","Mannheim"," Bürgermeister Neff Str. 12, 68519 Viernheim Mannheim Allemagne","Wi-Fi gratuit|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|121 Chambres","True"
"98","NH Collection München Bavaria","Europe","Allemagne","Munich"," Arnulfstr. 2 80335 Munich Allemagne","Wi-Fi gratuit|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|219 Chambres","True"
"99","NH München Airport","Europe","Allemagne","Munich"," Lohstr. 21, 85445 Schwaig/Oberding Munich Allemagne","Wi-Fi gratuit|Parking|Centre sportif|Navette|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Occasions spéciales|Réunions|236 Chambres","True"
"100","NH München City Süd","Europe","Allemagne","Munich"," Ottobrunner Str. 17-19, 81737 Munich Allemagne","Wi-Fi gratuit|Parking|100%|Eco-friendly|Animaux|Golf|163 Chambres","True"
"101","NH München Messe","Europe","Allemagne","Munich"," Eggenfeldener Str. 100, 81929 Munich Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|253 Chambres","True"
"102","NH München Ost Conference Center","Europe","Allemagne","Munich"," Einsteinring 20, 85609 Aschheim Munich Allemagne","Wi-Fi gratuit|Parking|Centre sportif|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Golf|Occasions spéciales|Réunions|222 Chambres","True"
"103","NH München Unterhaching","Europe","Allemagne","Munich"," Leipziger Str. 1,  82008 Unterhaching Munich Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|80 Chambres","True"
